IPA vs Monte Carlo Validation
Generated : 2026-06-21 14:42:35
MC N      : 10000
Networks  : 8

========================================================================
Network : munin-dag
========================================================================
IPA done  : 1.803 s  (pre-computed)
Running MC (N=10000)...
MC done   : 8.443 s

Accuracy (all nodes)   — max |Δ| = 0.01308   mean |Δ| = 0.002749
Accuracy (sinks only)  — max |Δ| = 0.01308   mean |Δ| = 0.003405

Sink nodes — IPA vs MC:
  Node   IPA          MC           |Δ|       
  --------------------------------------------
  2      0.892731     0.9015       0.008769
  3      0.892731     0.8916       0.001131
  4      0.892731     0.8892       0.003531
  18     0.860059     0.8589       0.001159
  24     0.694632     0.697        0.002368
  25     0.69147      0.6898       0.00167
  26     0.852945     0.8522       0.000745
  28     0.690457     0.6881       0.002357
  29     0.860491     0.8613       0.000809
  32     0.55927      0.5577       0.00157
  33     0.55927      0.5705       0.01123
  34     0.689408     0.6922       0.002792
  35     0.55927      0.5527       0.00657
  36     0.55927      0.5597       0.00043
  38     0.689785     0.6925       0.002715
  39     0.694632     0.6969       0.002268
  40     0.694632     0.6969       0.002268
  41     0.694632     0.6933       0.001332
  42     0.690599     0.6948       0.004201
  43     0.694632     0.6919       0.002732
  44     0.689752     0.69         0.000248
  45     0.689752     0.6896       0.000152
  46     0.689752     0.6842       0.005552
  47     0.696916     0.6939       0.003016
  48     0.690457     0.6903       0.000157
  54     0.859874     0.8588       0.001074
  60     0.676782     0.6735       0.003282
  61     0.692228     0.6876       0.004628
  62     0.851868     0.8499       0.001968
  64     0.687259     0.6843       0.002959
  65     0.860121     0.8585       0.001621
  68     0.55668      0.5577       0.00102
  69     0.55668      0.5518       0.00488
  70     0.687508     0.686        0.001508
  71     0.55668      0.5582       0.00152
  72     0.55668      0.5575       0.00082
  74     0.688813     0.6878       0.001013
  75     0.676782     0.6803       0.003518
  76     0.676782     0.6792       0.002418
  77     0.676782     0.6762       0.000582
  78     0.691473     0.6908       0.000673
  79     0.676782     0.6792       0.002418
  80     0.685489     0.684        0.001489
  81     0.685489     0.6889       0.003411
  82     0.685489     0.6855       1.1e-5
  83     0.691509     0.692        0.000491
  84     0.687259     0.6797       0.007559
  86     0.68984      0.6917       0.00186
  91     0.668563     0.6716       0.003037
  97     0.86007      0.8564       0.00367
  103    0.69466      0.691        0.00366
  104    0.692932     0.6992       0.006268
  105    0.85333      0.8526       0.00073
  107    0.690733     0.6914       0.000667
  108    0.860495     0.8571       0.003395
  111    0.559493     0.5601       0.000607
  112    0.559493     0.5589       0.000593
  113    0.689739     0.6872       0.002539
  114    0.559493     0.5626       0.003107
  115    0.559493     0.5589       0.000593
  117    0.68984      0.6911       0.00126
  118    0.69466      0.691        0.00366
  119    0.69466      0.6861       0.00856
  120    0.69466      0.6902       0.00446
  121    0.692095     0.6952       0.003105
  122    0.69466      0.69         0.00466
  123    0.69128      0.6899       0.00138
  124    0.69128      0.6949       0.00362
  125    0.69128      0.6887       0.00258
  126    0.697163     0.6982       0.001037
  127    0.690733     0.6923       0.001567
  332    0.847319     0.8385       0.008819
  333    0.665289     0.6616       0.003689
  336    0.675239     0.6706       0.004639
  337    0.672667     0.6774       0.004733
  355    0.697914     0.6991       0.001186
  356    0.688813     0.6883       0.000513
  359    0.687452     0.6809       0.006552
  364    0.685229     0.6789       0.006329
  460    0.691147     0.6886       0.002547
  462    0.692076     0.6898       0.002276
  475    0.852884     0.8492       0.003684
  476    0.853249     0.8476       0.005649
  477    0.691181     0.6922       0.001019
  481    0.689417     0.6813       0.008117
  482    0.560587     0.5514       0.009187
  483    0.690313     0.69         0.000313
  507    0.693129     0.6881       0.005029
  508    0.565388     0.5592       0.006188
  509    0.689785     0.6915       0.001715
  513    0.684127     0.68         0.004127
  514    0.540932     0.5505       0.009568
  521    0.691254     0.6856       0.005654
  532    0.860059     0.8583       0.001759
  538    0.694632     0.6934       0.001232
  539    0.69147      0.6964       0.00493
  540    0.852945     0.8549       0.001955
  542    0.690457     0.6941       0.003643
  543    0.860491     0.8593       0.001191
  546    0.55927      0.5587       0.00057
  547    0.55927      0.5627       0.00343
  548    0.689408     0.6918       0.002392
  549    0.55927      0.5647       0.00543
  550    0.55927      0.5571       0.00217
  552    0.689785     0.698        0.008215
  553    0.694632     0.6979       0.003268
  554    0.694632     0.6926       0.002032
  555    0.694632     0.6917       0.002932
  556    0.690599     0.6908       0.000201
  557    0.694632     0.6965       0.001868
  558    0.689752     0.6888       0.000952
