IPA vs Monte Carlo Validation
Generated : 2026-06-21 14:45:30
MC N      : 1000000
Networks  : 8

========================================================================
Network : munin-dag
========================================================================
IPA done  : 1.803 s  (pre-computed)
Running MC (N=1000000)...
MC done   : 582.917 s

Accuracy (all nodes)   — max |Δ| = 0.001335   mean |Δ| = 0.000282
Accuracy (sinks only)  — max |Δ| = 0.001173   mean |Δ| = 0.000368

Sink nodes — IPA vs MC:
  Node   IPA          MC           |Δ|       
  --------------------------------------------
  2      0.892731     0.89246      0.000271
  3      0.892731     0.892899     0.000168
  4      0.892731     0.893672     0.000941
  18     0.860059     0.860537     0.000478
  24     0.694632     0.694195     0.000437
  25     0.69147      0.69146      1.0e-5
  26     0.852945     0.852362     0.000583
  28     0.690457     0.691098     0.000641
  29     0.860491     0.859534     0.000957
  32     0.55927      0.559333     6.3e-5
  33     0.55927      0.559517     0.000247
  34     0.689408     0.689968     0.00056
  35     0.55927      0.559583     0.000313
  36     0.55927      0.558607     0.000663
  38     0.689785     0.689582     0.000203
  39     0.694632     0.694997     0.000365
  40     0.694632     0.694493     0.000139
  41     0.694632     0.694755     0.000123
  42     0.690599     0.689969     0.00063
  43     0.694632     0.694879     0.000247
  44     0.689752     0.689574     0.000178
  45     0.689752     0.68959      0.000162
  46     0.689752     0.689516     0.000236
  47     0.696916     0.695955     0.000961
  48     0.690457     0.690538     8.1e-5
  54     0.859874     0.859536     0.000338
  60     0.676782     0.676928     0.000146
  61     0.692228     0.691656     0.000572
  62     0.851868     0.851497     0.000371
  64     0.687259     0.687155     0.000104
  65     0.860121     0.859613     0.000508
  68     0.55668      0.55645      0.00023
  69     0.55668      0.557084     0.000404
  70     0.687508     0.688028     0.00052
  71     0.55668      0.556619     6.1e-5
  72     0.55668      0.55679      0.00011
  74     0.688813     0.688286     0.000527
  75     0.676782     0.676777     5.0e-6
  76     0.676782     0.676969     0.000187
  77     0.676782     0.676342     0.00044
  78     0.691473     0.691876     0.000403
  79     0.676782     0.676567     0.000215
  80     0.685489     0.686138     0.000649
  81     0.685489     0.685542     5.3e-5
  82     0.685489     0.686134     0.000645
  83     0.691509     0.691915     0.000406
  84     0.687259     0.687821     0.000562
  86     0.68984      0.689532     0.000308
  91     0.668563     0.668939     0.000376
  97     0.86007      0.85979      0.00028
  103    0.69466      0.694357     0.000303
  104    0.692932     0.69371      0.000778
  105    0.85333      0.85405      0.00072
  107    0.690733     0.6905       0.000233
  108    0.860495     0.8608       0.000305
  111    0.559493     0.55904      0.000453
  112    0.559493     0.559563     7.0e-5
  113    0.689739     0.68936      0.000379
  114    0.559493     0.55903      0.000463
  115    0.559493     0.558768     0.000725
  117    0.68984      0.690034     0.000194
  118    0.69466      0.69427      0.00039
  119    0.69466      0.695062     0.000402
  120    0.69466      0.69473      7.0e-5
  121    0.692095     0.691993     0.000102
  122    0.69466      0.69467      1.0e-5
  123    0.69128      0.691536     0.000256
  124    0.69128      0.691368     8.8e-5
  125    0.69128      0.691142     0.000138
  126    0.697163     0.697805     0.000642
  127    0.690733     0.691129     0.000396
  332    0.847319     0.847296     2.3e-5
  333    0.665289     0.665228     6.1e-5
  336    0.675239     0.675007     0.000232
  337    0.672667     0.67333      0.000663
  355    0.697914     0.698266     0.000352
  356    0.688813     0.688713     0.0001
  359    0.687452     0.688019     0.000567
  364    0.685229     0.685887     0.000658
  460    0.691147     0.691586     0.000439
  462    0.692076     0.692454     0.000378
  475    0.852884     0.851957     0.000927
  476    0.853249     0.852091     0.001158
  477    0.691181     0.691988     0.000807
  481    0.689417     0.688851     0.000566
  482    0.560587     0.560797     0.00021
  483    0.690313     0.689637     0.000676
  507    0.693129     0.69285      0.000279
  508    0.565388     0.5654       1.2e-5
  509    0.689785     0.689686     9.9e-5
  513    0.684127     0.68446      0.000333
  514    0.540932     0.540532     0.0004
  521    0.691254     0.690745     0.000509
  532    0.860059     0.860197     0.000138
  538    0.694632     0.694562     7.0e-5
  539    0.69147      0.691756     0.000286
  540    0.852945     0.852849     9.6e-5
  542    0.690457     0.690595     0.000138
  543    0.860491     0.860715     0.000224
  546    0.55927      0.559421     0.000151
  547    0.55927      0.560277     0.001007
  548    0.689408     0.689162     0.000246
  549    0.55927      0.558864     0.000406
  550    0.55927      0.558929     0.000341
